4129537,9983,20160712,0.018
6949378,3429,20160706,0.121
2166529,6928,20160727,0.018
2166529,1808,20160727,0.021
6172162,6500,20160708,0.052
4005121,9983,20160706,0.032
4347394,9983,20160716,0.022
3094273,13602,20160727,0.034
5139970,9983,20160729,0.021
3237121,13602,20160703,0.034
6224386,9983,20160716,0.016
6488578,13602,20160712,0.453
4164865,9983,20160703,0.021
4164865,8059,20160706,0.039
5468674,9983,20160713,0.023
6258178,9144,20160706,0.121
3659521,7341,20160727,0.062
3659521,13181,20160717,0.048
3659521,13602,20160718,0.047
7333378,13602,20160704,0.043
7333378,785,20160727,0.075
4454914,2978,20160711,0.096
6817282,8375,20160724,0.026
3149569,10418,20160721,0.032
6301186,1715,20160718,0.117
6301186,4203,20160708,0.031
2891521,13602,20160724,0.042
3422977,13602,20160727,0.04
4771330,13602,20160726,0.031
4513282,11799,20160712,0.025
3439873,13602,20160713,0.042
6632962,13602,20160727,0.043
6632962,10438,20160705,0.026
6912514,9934,20160724,0.127
2821891,10418,20160702,0.032
3872515,10418,20160704,0.035
3872515,2978,20160704,0.105
2699011,13602,20160705,0.381
5406214,3903,20160722,0.046
5406214,2440,20160722,0.046
3359491,10418,20160725,0.026
4147459,5743,20160715,0.038
5427718,4912,20160704,0.127
5427718,662,20160704,0.197
5427718,1528,20160704,0.194
2848003,13602,20160702,0.035
2726659,10842,20160724,0.352
3649795,2978,20160723,0.108
3649795,10418,20160701,0.036
2612995,9983,20160703,0.015
3808003,9983,20160721,0.017
3812611,3992,20160721,0.076
3425539,3992,20160719,0.043
6853126,13181,20160721,0.099
4251142,10609,20160707,0.043
3442435,13602,20160713,0.041
3182851,11986,20160731,0.043
7175686,7774,20160706,0.076
7175686,9983,20160717,0.03
3199747,8059,20160712,0.035
3199747,3429,20160718,0.095
6140422,6480,20160728,0.059
4001029,13602,20160704,0.034
3873541,2978,20160718,0.097
4603402,5482,20160723,0.058
6443530,13602,20160722,0.042
3627781,10418,20160713,0.032
4913674,8059,20160712,0.026
3506437,13602,20160719,0.048
2196229,6614,20160717,0.067
2329861,13849,20160724,0.075
3514117,9967,20160706,0.02
5733898,13183,20160705,0.248
2480389,2978,20160703,0.457
3928837,1904,20160722,0.036
3017989,13602,20160730,0.03
3017989,9983,20160704,0.03
5776906,13602,20160706,0.041
6332938,13602,20160724,0.041
5568010,8596,20160722,0.074
2398981,13602,20160722,0.034
3208453,10418,20160713,0.025
7205386,13602,20160729,0.04
4866574,13602,20160723,0.043
4866574,9983,20160725,0.025
5394958,2601,20160712,0.027
6445582,13602,20160713,0.041
3748615,13602,20160709,0.042
3748615,11184,20160703,0.098
5941774,9983,20160711,0.02
2842375,3429,20160725,0.112
2324743,10418,20160701,0.032
6491662,4654,20160717,0.103
3644167,11463,20160710,0.127
3644167,11463,20160706,0.164
3644167,11463,20160708,0.127
3644167,11463,20160711,0.131
3644167,11463,20160713,0.107
2862343,3004,20160712,0.048
2862343,2070,20160721,0.047
2862343,7821,20160721,0.049
2862343,14,20160731,0.143
4676110,9983,20160727,0.015
3135751,3992,20160724,0.075
4054279,9983,20160729,0.022
4192519,13602,20160723,0.034
2363143,3780,20160703,0.027
2363143,13161,20160703,0.029
2363143,2978,20160724,0.145
2363143,10438,20160729,0.027
3025159,9983,20160703,0.033
3025159,10438,20160701,0.027
3025159,13602,20160725,0.036
6574606,8059,20160729,0.024
2771719,13602,20160728,0.034
2513671,9983,20160723,0.023
7136782,13602,20160714,0.153
3568903,8596,20160722,0.051
5047822,13602,20160722,0.041
3704071,10110,20160716,0.157
3704071,10110,20160707,0.29
3183367,4132,20160723,0.03
4276750,13602,20160726,0.04
6402574,9983,20160704,0.03
6402574,10418,20160706,0.036
6408718,13602,20160724,0.039
4587022,8059,20160717,0.044
4587022,9983,20160717,0.031
3212041,13602,20160715,0.042
5903890,13602,20160724,0.04
4598290,1904,20160709,0.038
3093769,8306,20160728,0.065
3093769,8059,20160728,0.042
3093769,9983,20160716,0.034
4370962,8059,20160722,0.026
6208018,2920,20160729,0.049
2189065,2096,20160715,0.058
4029193,13602,20160703,0.041
3119881,493,20160721,0.035
3910921,9983,20160712,0.017
3910921,13602,20160711,0.042
6773266,2096,20160717,0.093
4948498,2978,20160725,0.084
2347273,13602,20160725,0.039
4190473,10284,20160720,0.076
3536137,13602,20160728,0.042
2358025,13602,20160703,0.029
3930889,10438,20160729,0.027
3930889,13602,20160704,0.025
3930889,2893,20160724,0.326
3930889,2893,20160726,0.118
4066057,5702,20160716,0.35
4066057,13602,20160724,0.056
4066057,5702,20160723,0.074
4066057,5702,20160709,0.429
4070665,10418,20160715,0.032
3024649,3992,20160709,0.039
6862354,13602,20160731,0.04
6078994,10438,20160716,0.021
3310345,10438,20160731,0.021
6112786,13602,20160714,0.034
2930953,2978,20160724,0.084
