6140422,6480,20160728,0.1
3208969,3985,20160724,0.181
2773771,4727,20160725,0.349
6783514,12154,20160729,0.225
6608410,8012,20160721,0.072
2370319,12429,20160723,0.19
2266897,6749,20160726,0.088
4463170,8012,20160728,0.058
6391366,8012,20160722,0.076
4453966,1499,20160711,0.029
4453966,1499,20160705,0.015
4453966,1499,20160715,0.032
3760939,8446,20160714,0.429
2970925,4727,20160702,0.193
2970925,4727,20160714,0.267
2970925,4727,20160729,0.39
4024111,1895,20160708,0.11
3556147,4491,20160729,0.17
3085111,4727,20160714,0.086
5997166,13398,20160722,0.056
3676471,13398,20160715,0.073
4389490,2902,20160708,0.108
4389490,2902,20160716,0.316
4389490,2902,20160701,0.067
2984761,12429,20160723,0.09
4366966,2902,20160724,0.086
4052293,5516,20160718,0.158
4942486,2902,20160704,0.117
6566554,1635,20160720,0.196
5352106,13027,20160720,0.043
3789145,12782,20160704,0.216
4129627,2111,20160720,0.148
4968118,6581,20160721,0.231
6895294,2902,20160728,0.094
4890310,760,20160727,0.088
2247523,12429,20160707,0.142
7104214,8012,20160719,0.137
5768926,1499,20160704,0.019
5768926,1499,20160716,0.03
5768926,1499,20160709,0.028
7178974,8012,20160729,0.124
3176305,13398,20160713,0.16
2545525,4727,20160703,0.069
3515767,4727,20160721,0.333
2891641,4727,20160704,0.097
2873725,13398,20160728,0.073
3018109,2111,20160702,0.079
2662789,3603,20160709,0.148
6542098,13831,20160712,0.029
2771851,1267,20160703,0.161
4796182,3686,20160714,0.102
3431311,10164,20160720,0.337
3347347,13027,20160720,0.015
2573203,1727,20160718,0.136
5874478,8170,20160709,0.03
4921138,4727,20160730,0.13
4062619,13831,20160716,0.161
5537590,2902,20160729,0.118
6075190,8474,20160721,0.165
7324474,4727,20160719,0.095
4498234,8170,20160722,0.031
4538170,4727,20160731,0.076
2684317,4491,20160714,0.085
2684317,4491,20160726,0.097
6389566,5143,20160727,0.107
6389566,12429,20160727,0.093
2880931,8012,20160725,0.088
