4129537,9983,20160712,0.048
6949378,3429,20160706,0.142
2166529,6928,20160727,0.008
2166529,1808,20160727,0.008
6172162,6500,20160708,0.03
4005121,9983,20160706,0.175
4347394,9983,20160716,0.097
3094273,13602,20160727,0.112
5139970,9983,20160729,0.057
3237121,13602,20160703,0.112
6224386,9983,20160716,0.066
6488578,13602,20160712,0.707
4164865,9983,20160703,0.051
4164865,8059,20160706,0.027
5468674,9983,20160713,0.158
6258178,9144,20160706,0.119
3659521,7341,20160727,0.034
3659521,13181,20160717,0.049
3659521,13602,20160718,0.125
7333378,13602,20160704,0.13
7333378,785,20160727,0.12
4454914,2978,20160711,0.126
6817282,8375,20160724,0.014
3149569,10418,20160721,0.041
6301186,1715,20160718,0.068
6301186,4203,20160708,0.025
2891521,13602,20160724,0.131
3422977,13602,20160727,0.082
4771330,13602,20160726,0.072
4513282,11799,20160712,0.004
3439873,13602,20160713,0.146
6632962,13602,20160727,0.099
6632962,10438,20160705,0.027
6912514,9934,20160724,0.113
2821891,10418,20160702,0.041
3872515,10418,20160704,0.044
3872515,2978,20160704,0.09
2699011,13602,20160705,0.653
5406214,3903,20160722,0.022
5406214,2440,20160722,0.022
3359491,10418,20160725,0.036
4147459,5743,20160715,0.019
5427718,4912,20160704,0.148
5427718,662,20160704,0.159
5427718,1528,20160704,0.143
2848003,13602,20160702,0.126
2726659,10842,20160724,0.29
3649795,2978,20160723,0.122
3649795,10418,20160701,0.062
2612995,9983,20160703,0.045
3808003,9983,20160721,0.025
3812611,3992,20160721,0.097
3425539,3992,20160719,0.044
6853126,13181,20160721,0.089
4251142,10609,20160707,0.065
3442435,13602,20160713,0.136
3182851,11986,20160731,0.029
7175686,7774,20160706,0.1
7175686,9983,20160717,0.069
3199747,8059,20160712,0.019
3199747,3429,20160718,0.07
6140422,6480,20160728,0.069
4001029,13602,20160704,0.112
3873541,2978,20160718,0.064
4603402,5482,20160723,0.125
6443530,13602,20160722,0.146
3627781,10418,20160713,0.042
4913674,8059,20160712,0.015
3506437,13602,20160719,0.298
2196229,6614,20160717,0.06
2329861,13849,20160724,0.053
3514117,9967,20160706,0.009
5733898,13183,20160705,0.301
2480389,2978,20160703,0.752
3928837,1904,20160722,0.086
3017989,13602,20160730,0.099
3017989,9983,20160704,0.107
5776906,13602,20160706,0.136
6332938,13602,20160724,0.146
5568010,8596,20160722,0.059
2398981,13602,20160722,0.112
3208453,10418,20160713,0.017
7205386,13602,20160729,0.152
4866574,13602,20160723,0.099
4866574,9983,20160725,0.083
5394958,2601,20160712,0.009
6445582,13602,20160713,0.136
3748615,13602,20160709,0.128
3748615,11184,20160703,0.088
5941774,9983,20160711,0.162
2842375,3429,20160725,0.112
2324743,10418,20160701,0.041
6491662,4654,20160717,0.193
3644167,11463,20160710,0.075
3644167,11463,20160706,0.098
3644167,11463,20160708,0.073
3644167,11463,20160711,0.072
3644167,11463,20160713,0.068
2862343,3004,20160712,0.03
2862343,2070,20160721,0.028
2862343,7821,20160721,0.04
2862343,14,20160731,0.177
4676110,9983,20160727,0.02
3135751,3992,20160724,0.057
4054279,9983,20160729,0.11
4192519,13602,20160723,0.117
2363143,3780,20160703,0.028
2363143,13161,20160703,0.028
2363143,2978,20160724,0.11
2363143,10438,20160729,0.034
3025159,9983,20160703,0.107
3025159,10438,20160701,0.028
3025159,13602,20160725,0.088
6574606,8059,20160729,0.013
2771719,13602,20160728,0.112
2513671,9983,20160723,0.167
7136782,13602,20160714,0.255
3568903,8596,20160722,0.054
5047822,13602,20160722,0.146
3704071,10110,20160716,0.157
3704071,10110,20160707,0.271
3183367,4132,20160723,0.016
4276750,13602,20160726,0.093
6402574,9983,20160704,0.107
6402574,10418,20160706,0.062
6408718,13602,20160724,0.241
4587022,8059,20160717,0.037
4587022,9983,20160717,0.138
3212041,13602,20160715,0.146
5903890,13602,20160724,0.082
4598290,1904,20160709,0.092
3093769,8306,20160728,0.04
3093769,8059,20160728,0.046
3093769,9983,20160716,0.06
4370962,8059,20160722,0.015
6208018,2920,20160729,0.069
2189065,2096,20160715,0.062
4029193,13602,20160703,0.136
3119881,493,20160721,0.019
3910921,9983,20160712,0.026
3910921,13602,20160711,0.128
6773266,2096,20160717,0.168
4948498,2978,20160725,0.118
2347273,13602,20160725,0.083
4190473,10284,20160720,0.157
3536137,13602,20160728,0.146
2358025,13602,20160703,0.048
3930889,10438,20160729,0.035
3930889,13602,20160704,0.06
3930889,2893,20160724,0.365
3930889,2893,20160726,0.113
4066057,5702,20160716,0.224
4066057,13602,20160724,0.155
4066057,5702,20160723,0.061
4066057,5702,20160709,0.355
4070665,10418,20160715,0.041
3024649,3992,20160709,0.104
6862354,13602,20160731,0.082
6078994,10438,20160716,0.013
3310345,10438,20160731,0.018
6112786,13602,20160714,0.112
2930953,2978,20160724,0.118
6939154,10418,20160727,0.038
6939154,2978,20160727,0.052
3208969,3985,20160724,0.24
3208969,11876,20160724,0.155
2296075,13602,20160728,0.042
2173195,2601,20160703,0.004
5948950,10418,20160720,0.032
2723083,4277,20160724,0.017
4177675,9983,20160721,0.203
4177675,13602,20160719,0.047
6790678,13602,20160723,0.112
3531019,8059,20160717,0.011
7343638,8059,20160704,0.017
3021067,13320,20160722,0.141
2773771,4727,20160725,0.387
4286998,13602,20160711,0.136
6385174,9983,20160712,0.027
2933515,9983,20160703,0.107
2933515,13602,20160702,0.034
6925846,13602,20160714,0.11
6925846,9983,20160721,0.037
5617174,5785,20160725,0.038
6667798,9983,20160710,0.067
6667798,8499,20160725,0.407
6667798,13602,20160704,0.541
5887510,3093,20160704,0.039
5887510,8215,20160704,0.054
5887510,9002,20160704,0.054
3469579,2978,20160711,0.064
5368342,13602,20160727,0.338
6157846,13602,20160722,0.039
6427162,1904,20160708,0.067
6427162,11894,20160708,0.042
7228954,9983,20160714,0.071
6728218,3992,20160707,0.044
6992410,1971,20160706,0.183
6992410,1971,20160701,0.238
6992410,1971,20160708,0.149
6992410,1971,20160705,0.148
6992410,1971,20160711,0.082
3909901,9983,20160726,0.156
6783514,13602,20160729,0.054
6783514,9983,20160731,0.059
6783514,12154,20160729,0.126
4694554,10418,20160711,0.061
4694554,13602,20160721,0.042
4694554,2978,20160710,0.099
4694554,10438,20160703,0.032
5238298,11799,20160729,0.004
2886925,2978,20160722,0.514
2891533,13602,20160731,0.112
2635021,1808,20160730,0.021
2635021,6928,20160730,0.021
5275162,2601,20160707,0.005
2247949,13602,20160707,0.061
2247949,1589,20160710,0.462
2247949,1589,20160721,0.205
2247949,9983,20160730,0.063
6335002,9793,20160714,0.102
6599194,3429,20160710,0.092
6608410,8012,20160721,0.082
3048205,10438,20160712,0.028
3048205,10418,20160701,0.054
3837709,9983,20160720,0.02
2800909,13602,20160727,0.22
5880346,13602,20160721,0.046
5880346,8901,20160703,0.382
6153754,8059,20160724,0.011
5393950,13602,20160720,0.136
6976030,9718,20160702,0.119
2846479,10438,20160711,0.015
6223390,9983,20160710,0.081
3639055,9983,20160701,0.092
2872591,13602,20160713,0.136
3531535,8059,20160702,0.041
3531535,10418,20160704,0.075
3531535,9983,20160702,0.067
3531535,3429,20160704,0.105
5510686,8059,20160712,0.022
5510686,3429,20160704,0.121
3937039,10990,20160710,0.113
6039070,8059,20160715,0.045
6039070,13803,20160707,0.033
6039070,9983,20160726,0.044
6039070,13602,20160726,0.065
6039070,3429,20160716,0.097
3675919,2601,20160708,0.007
4472350,9983,20160728,0.058
2107663,13602,20160728,0.136
2370319,12429,20160723,0.072
2370319,10418,20160711,0.024
2765071,2978,20160721,0.16
2765071,13602,20160714,0.06
3557647,13602,20160704,0.03
3557647,10438,20160712,0.024
2772751,13602,20160713,0.107
2772751,9983,20160714,0.025
3428623,10438,20160706,0.031
3428623,10418,20160704,0.076
3428623,3429,20160705,0.131
3428623,13602,20160724,0.06
3428623,2978,20160724,0.106
3298063,2978,20160731,0.113
3298063,10438,20160721,0.028
6893086,13602,20160727,0.146
2817295,13602,20160720,0.106
2953489,9983,20160704,0.076
5180962,13602,20160723,0.136
3647761,9983,20160724,0.11
4938274,3594,20160703,0.023
